INDIVIDUALS	CURRENT	INFERRED	SCORE	SECOND_BEST_POP	SECOND_BEST_SCORE	MARKER_NUMBER	METHOD	MISSING_DATA	ITERATIONS	SUBSAMPLE
BDB17	north	north	100	south	0	50	ranked_thl_0.5	no.imputation	1	2
BDB17	north	north	100	south	0	50	ranked_thl_0.5	no.imputation	4	2
BDB17	north	north	100	south	0	50	ranked_thl_0.5	no.imputation	5	2
BDB17	north	north	100	south	0	50	ranked_thl_0.5	no.imputation	6	2
BDB17	north	north	100	south	0	50	ranked_thl_0.5	no.imputation	9	2
BDB17	north	north	100	south	0	100	ranked_thl_0.5	no.imputation	1	2
BDB17	north	north	100	south	0	100	ranked_thl_0.5	no.imputation	4	2
BDB17	north	north	100	south	0	100	ranked_thl_0.5	no.imputation	5	2
BDB17	north	north	100	south	0	100	ranked_thl_0.5	no.imputation	6	2
BDB17	north	north	100	south	0	100	ranked_thl_0.5	no.imputation	9	2
BDB17	north	north	100	south	0	200	ranked_thl_0.5	no.imputation	1	2
BDB17	north	north	100	south	0	200	ranked_thl_0.5	no.imputation	4	2
BDB17	north	north	100	south	0	200	ranked_thl_0.5	no.imputation	5	2
BDB17	north	north	100	south	0	200	ranked_thl_0.5	no.imputation	6	2
BDB17	north	north	100	south	0	200	ranked_thl_0.5	no.imputation	9	2
BDB17	north	north	100	south	0	300	ranked_thl_0.5	no.imputation	1	2
BDB17	north	north	100	south	0	300	ranked_thl_0.5	no.imputation	4	2
BDB17	north	north	100	south	0	300	ranked_thl_0.5	no.imputation	5	2
BDB17	north	north	100	south	0	300	ranked_thl_0.5	no.imputation	6	2
BDB17	north	north	100	south	0	300	ranked_thl_0.5	no.imputation	9	2
BDB17	north	north	100	south	0	400	ranked_thl_0.5	no.imputation	1	2
BDB17	north	north	100	south	0	400	ranked_thl_0.5	no.imputation	4	2
BDB17	north	north	100	south	0	400	ranked_thl_0.5	no.imputation	5	2
BDB17	north	north	100	south	0	400	ranked_thl_0.5	no.imputation	6	2
BDB17	north	north	100	south	0	400	ranked_thl_0.5	no.imputation	9	2
BDB17	north	north	100	south	0	500	ranked_thl_0.5	no.imputation	1	2
BDB17	north	north	100	south	0	500	ranked_thl_0.5	no.imputation	4	2
BDB17	north	north	100	south	0	500	ranked_thl_0.5	no.imputation	5	2
BDB17	north	north	100	south	0	500	ranked_thl_0.5	no.imputation	6	2
BDB17	north	north	100	south	0	500	ranked_thl_0.5	no.imputation	9	2
BDB17	north	north	100	south	0	1000	ranked_thl_0.5	no.imputation	1	2
BDB17	north	north	100	south	0	1000	ranked_thl_0.5	no.imputation	4	2
BDB17	north	north	100	south	0	1000	ranked_thl_0.5	no.imputation	5	2
BDB17	north	north	100	south	0	1000	ranked_thl_0.5	no.imputation	6	2
BDB17	north	north	100	south	0	1000	ranked_thl_0.5	no.imputation	9	2
BDB17	north	north	100	south	0	15454	ranked_thl_0.5	no.imputation	1	2
BDB17	north	north	100	south	0	15454	ranked_thl_0.5	no.imputation	4	2
BDB17	north	north	100	south	0	15454	ranked_thl_0.5	no.imputation	5	2
BDB17	north	north	100	south	0	15454	ranked_thl_0.5	no.imputation	6	2
BDB17	north	north	100	south	0	15454	ranked_thl_0.5	no.imputation	9	2
BDB19	north	north	100	south	0	50	ranked_thl_0.5	no.imputation	1	2
BDB19	north	north	100	south	0	50	ranked_thl_0.5	no.imputation	3	2
BDB19	north	north	100	south	0	50	ranked_thl_0.5	no.imputation	5	2
BDB19	north	north	100	south	0	50	ranked_thl_0.5	no.imputation	7	2
